id;datum_racuna;period;valuta_placanja;cena_kwh;cena_fix;cena_odrzavanje;cena_o_stalo;popust;staro_stanje_podstanice;novo_stanje_podstanice;ukupna_povrsina;utrosak_po_m_2;pdv_1;pdv_2
1;2023-04-22;Sports;2023-04-23;83742;57603;21023;1063;31189;42538;78055;11638;1972;88845;43156
2;2023-04-23;Gorgeous Berkshire;2023-04-22;23126;25081;67228;95300;43502;60152;70538;7251;30820;59593;92089
3;2023-04-22;Liaison;2023-04-22;82250;45658;27905;27648;78926;3019;46982;21359;60413;71127;71592
4;2023-04-22;Brand;2023-04-23;10087;56997;40023;73696;56627;17943;61515;61111;74205;11019;3465
5;2023-04-23;Marshall Islands Horizontal driver;2023-04-22;56402;18116;68240;75227;96740;3711;3150;28614;54420;49436;37315
6;2023-04-23;white throughput;2023-04-22;90432;59926;18201;52013;51187;64681;73882;60730;23522;994;84992
7;2023-04-23;functionalities Sleek;2023-04-23;79697;55479;80149;332;28736;89566;71677;37234;94268;83787;59479
8;2023-04-22;COM;2023-04-22;28148;38788;84050;84610;53448;12001;30342;42956;62817;23758;44672
9;2023-04-23;grey Operations;2023-04-22;7563;72064;1300;89820;57679;92058;19823;98419;26290;7762;58175
10;2023-04-23;driver;2023-04-23;62117;6998;80348;98132;54121;11932;50610;71197;83532;22107;46334
