id;datum_racuna;period;utrosak_varijabilni;utrosak_fiksni;utrosak_odrzavanje
1;2023-04-23;connecting;27769;67488;70298
2;2023-04-23;bypass invoice;87889;89539;34428
3;2023-04-22;Iceland Krona;72768;17726;93927
4;2023-04-22;target Ukraine Investment Account;18150;65944;98659
5;2023-04-22;incentivize Unbranded;3313;44037;656
6;2023-04-23;invoice;12963;3090;59570
7;2023-04-22;multi-byte Wells;84494;54671;10381
8;2023-04-22;European Unit of Account 17(E.U.A.-17) Front-line;16759;65156;46147
9;2023-04-22;AGP Tools;7599;31801;56274
10;2023-04-22;Consultant compressing Checking Account;41419;43471;73530
