id;povrsina;ulica;ulaz;broj;ukljucen;sifra;grad;postanski_broj;broj_merila
1;14944;Gorgeous Maine pink;22961;37042;true;bypassing;Mexican Peso Mexican Unidad de Inversion (UDI);Dynamic;interactive Specialist
2;76643;Burkina Faso incubate functionalities;54600;40620;true;withdrawal SMS;back-end;payment El Salvador Tools;feed New York
3;35325;standardization;58423;47302;true;Kids;seamless;Cambridgeshire initiatives Associate;deposit
4;71185;Gorgeous SAS backing up;83129;97928;true;Quality;withdrawal;Mouse back-end;Bond Markets Units European Composite Unit (EURCO) Consultant grow
5;539;schemas Concrete;41870;70271;true;Meadows Implementation Kentucky;copying interface generating;Cambridgeshire Fish copy;Antarctica (the territory South of 60 deg S) Brook Communications
6;99028;protocol;40290;62975;false;Skyway Usability;plum Refined Fresh Hat Iowa;Investor Money Market Account Intelligent;infrastructure quantify Cambridgeshire
7;6499;deposit;81893;92270;true;action-items bypass Money Market Account;West Virginia;Bike Granite Bahrain;indexing Cambridgeshire Investment Account
8;95590;calculate;49339;65647;true;Ford;Mauritania synergy;Optimized wireless Fords;multi-byte USB
9;15039;exploit Berkshire facilitate;50936;54125;true;approach invoice;B2B Jewelery SMTP;groupware Montana;Tunisian Dinar pink
10;91605;magenta;12352;91479;false;Human XML program;Bedfordshire;Wisconsin 4th generation;Digitized deposit impactful
