id;rasporedjena;datum;status;iznos;sifra;opis
1;true;2023-04-23;Pants North Carolina global;66165;action-items;Advanced mission-critical bluetooth
2;false;2023-04-22;Generic Plastic Ball;61792;Personal Loan Account Green;Mississippi deposit XML
3;true;2023-04-23;hacking turn-key Face to face;5286;SCSI Jewelery connect;payment payment protocol
4;false;2023-04-22;Pula;73754;Parkway;deposit Centers
5;false;2023-04-23;Granite;7249;impactful Associate Books;Reduced
6;true;2023-04-22;whiteboard;16207;grey;methodical
7;false;2023-04-22;Investor foreground sticky;70175;quantifying Investment Account;Practical Rubber Cheese California
8;true;2023-04-22;Enterprise-wide transmitting;5077;bus;Cross-group Tuna
9;true;2023-04-23;Borders Pines circuit;25008;projection Functionality synergies;Analyst Awesome Concrete Chair
10;true;2023-04-23;Rubber relationships Practical Granite Car;33769;Italy;scalable
