id;obracunski_period;datum_izdavanja_racuna;datum_dospeca_racuna;zaduzenje;ukupno_za_uplatu
1;Avon Avon;2023-04-23;2023-04-22;51693;4194
2;Buckinghamshire Investor auxiliary;2023-04-22;2023-04-23;91085;40074
3;Bacon RAM;2023-04-22;2023-04-23;12486;59386
4;Gorgeous Metal Ball Designer methodologies;2023-04-23;2023-04-23;46274;2001
5;algorithm back-end;2023-04-22;2023-04-23;76718;90118
6;navigating Director;2023-04-22;2023-04-23;20710;61328
7;Rustic;2023-04-23;2023-04-22;65608;73894
8;driver Computers Forward;2023-04-22;2023-04-22;8486;25395
9;invoice;2023-04-22;2023-04-23;74080;61146
10;EXE;2023-04-22;2023-04-22;94026;8078
