id;datum;valuta;status;opis;duguje;potrazuje
1;2023-04-22;2023-04-23;Clothing connecting;Peso Uruguayo Uruguay Peso en Unidades Indexadas Cambridgeshire;19091;85550
2;2023-04-23;2023-04-22;sky blue Frozen;index Delaware Home;9700;68221
3;2023-04-23;2023-04-22;Central Bedfordshire Saint Barthelemy;Egyptian Pound;70234;12930
4;2023-04-22;2023-04-22;TCP portals;Granite Incredible;52957;90954
5;2023-04-22;2023-04-22;payment;Prairie Dynamic;67341;83462
6;2023-04-22;2023-04-23;Rubber;hack magenta program;68770;51371
7;2023-04-23;2023-04-23;turquoise Colombia;Intelligent gold cross-platform;76978;74185
8;2023-04-23;2023-04-22;Nevada;Supervisor Avon;83319;48077
9;2023-04-23;2023-04-22;software olive;International;98576;96071
10;2023-04-22;2023-04-23;deposit reinvent FTP;Shoes;74512;15885
