id;datum;valuta;status;opis;duguje;potrazuje
1;2023-04-22;2023-04-22;Kina;Ergonomic compress;9526;66668
2;2023-04-22;2023-04-23;hard drive synthesize;Money Market Account Fiji Mouse;24512;37935
3;2023-04-22;2023-04-23;Unbranded Plastic Chicken hack;deposit;16731;60923
4;2023-04-22;2023-04-23;firmware Auto Loan Account;extend Namibia Arizona;11006;48300
5;2023-04-23;2023-04-22;Refined firmware;Regional invoice Boliviano Mvdol;20694;60206
6;2023-04-22;2023-04-23;Soap;CFP Franc;54384;48249
7;2023-04-23;2023-04-22;Corporate seamless Pines;Cotton;1916;55841
8;2023-04-22;2023-04-22;Generic Investment Account applications;Tuna deposit Response;99464;47470
9;2023-04-22;2023-04-22;payment Rustic Frozen Gloves;hacking;2516;91241
10;2023-04-22;2023-04-22;Credit Card Account Networked;Steel Oklahoma open-source;5765;21426
